paper_ref,family,system,variant,walk,model_name,topk,ep,mb,nodes,q,q_over_bdp,rto_min_us,mtu,makespan_ms,rtos,quotable,quotable_why,fct_logdir,source,note,link_rate_fixed,quoted_by
cliff,,nvl64_pkt_s1,,s1_128,arctic,,128,,1024,1200,2.00,,,298.660,443656,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1_128,arctic,,128,,1024,4800,8.00,,,306.969,100623,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1_128,arctic,,128,,1024,2400,4.00,,,316.342,344205,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,,nvl64_pkt_s1,,s1_128,arctic,,128,,1024,600,1.00,,,371.350,585148,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
mb,glass,glassfb,,,llamaMoE,,16,4,128,1064,4.0,100,1500,85.271,0,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),shared_logdir,mb_sweep.csv,vanishing-timeout rule; quoted=yes is the shallowest zero-RTO buffer,,
cliff,glass,glassfb,,g16m4,llamaMoE,,16,4,128,1064,3.99,,,85.622,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,glass,glassfb,,g16m4,llamaMoE,,16,4,128,2128,7.98,,,85.622,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,glass,glassfb,,g16m4,llamaMoE,,16,4,128,4256,15.96,,,85.622,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,glass,glassfb,,g16m4,llamaMoE,,16,4,128,532,2.00,,,85.625,0,yes,first zero-timeout rung (post-fix binary),,cliff_postfix.csv,post-fix rung; one job per rung | drops measured on the counter build at the same makespan,yes,collector
cliff,glass,glassfb,,g16m4,llamaMoE,,16,4,128,266,1.00,,,86.642,27,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,glass,glassfb,,g16m4,llamaMoE,,16,4,128,133,0.50,,,115.035,2085,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,glass,glassfb,,,llamaMoE,2,16,8,128,1064,8.0,100,1500,86.750,0,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),clean,cliff_portmap.csv,port-map cabling; placement+dim-route ON,,
mb,glass,glassfb,,,llamaMoE,,16,8,128,1064,4.0,100,1500,86.750,0,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),clean,mb_sweep.csv,vanishing-timeout rule; quoted=yes is the shallowest zero-RTO buffer,,
cliff,glass,glassfb,,g16m8,llamaMoE,,16,8,128,1064,3.99,,,87.599,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,glass,glassfb,,g16m8,llamaMoE,,16,8,128,2128,7.98,,,87.599,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,glass,glassfb,,g16m8,llamaMoE,,16,8,128,4256,15.96,,,87.599,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,glass,glassfb,,g16m8,llamaMoE,,16,8,128,532,2.00,,,87.613,0,yes,first zero-timeout rung (post-fix binary),,cliff_postfix.csv,post-fix rung; one job per rung | drops measured on the counter build at the same makespan,yes,collector
