paper_ref,system,cabling,ep,nodes,mb,q,relayed_pairs,completed,makespan_ms,rtos,flows_total,flows_payload,mean_fct_ms,p50_fct_ms,p99_fct_ms,max_fct_ms,wall_s,status,note,link_rate_fixed,binary_sha,model_name,family,q_over_bdp,drops,quotable,quotable_why,walk,quoted_by,fct_logdir,fct_status,,domain,switches,link_gbps,nic_bw,q_nvs,q_nic,source
cliff,glassfb_800,ep16_0_8_4.txt,16,128,16,533,0,COMPLETE,91.617,0,78592,57472,0.0535,0.0008,0.8546,4.1199,509,sweep,post-fix rung (glass); dim_a2a=1; portmap=ep16_0_8_4.txt; hier=0; port_bw=800; ep_place=1; tp=1; ep=1; 200G/lane: static laser+tune NOT re-budgeted -- same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic),yes,fcdc6e7,llamaMoE,,,0,yes,first zero-timeout rung (post-fix binary),g16b800m16,collector,./logs/rung_12940006_1327822_1788834178987329491,clean,,,,,,,,g16b800m16_q533.csv
cliff,glassfb_800,ep16_0_8_4.txt,16,128,16,8533,0,COMPLETE,91.617,0,78592,57472,0.0535,0.0008,0.8546,4.1199,502,sweep,post-fix rung (glass); dim_a2a=1; portmap=ep16_0_8_4.txt; hier=0; port_bw=800; ep_place=1; tp=1; ep=1; 200G/lane: static laser+tune NOT re-budgeted -- same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic),yes,fcdc6e7,llamaMoE,,,0,no,not the first qualifying rung of this walk,g16b800m16,collector,./logs/rung_12940010_4100283_1788834219654218556,clean,,,,,,,,g16b800m16_q8533.csv
cliff,glassfb_800,ep16_0_8_4.txt,16,128,32,1066,0,COMPLETE,99.668,0,78592,57472,0.1014,0.0008,1.6989,7.9019,997,sweep,post-fix rung (glass); dim_a2a=1; portmap=ep16_0_8_4.txt; hier=0; port_bw=800; ep_place=1; tp=1; ep=1; 200G/lane: static laser+tune NOT re-budgeted -- same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic),yes,fcdc6e7,llamaMoE,,,0,no,not the first qualifying rung of this walk,g16b800m32,collector,./logs/rung_12940013_492138_1788834219599466800,clean,,,,,,,,g16b800m32_q1066.csv
cliff,glassfb_800,ep16_0_8_4.txt,16,128,32,2133,0,COMPLETE,99.668,0,78592,57472,0.1014,0.0008,1.6989,7.9019,997,sweep,post-fix rung (glass); dim_a2a=1; portmap=ep16_0_8_4.txt; hier=0; port_bw=800; ep_place=1; tp=1; ep=1; 200G/lane: static laser+tune NOT re-budgeted -- same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic),yes,fcdc6e7,llamaMoE,,,0,no,not the first qualifying rung of this walk,g16b800m32,collector,./logs/rung_12940014_492134_1788834219660761465,clean,,,,,,,,g16b800m32_q2133.csv
cliff,glassfb_800,ep16_0_8_4.txt,16,128,32,266,0,COMPLETE,101.301,46,78592,57472,0.1013,0.0008,1.6991,7.8832,994,sweep,post-fix rung (glass); dim_a2a=1; portmap=ep16_0_8_4.txt; hier=0; port_bw=800; ep_place=1; tp=1; ep=1; 200G/lane: static laser+tune NOT re-budgeted -- same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic),yes,fcdc6e7,llamaMoE,,,106197,no,not the first qualifying rung of this walk,g16b800m32,collector,./logs/rung_12940011_2507452_1788834219668522763,clean,,,,,,,,g16b800m32_q266.csv
cliff,glassfb_800,ep16_0_8_4.txt,16,128,32,4267,0,COMPLETE,99.668,0,78592,57472,0.1014,0.0008,1.6989,7.9019,1004,sweep,post-fix rung (glass); dim_a2a=1; portmap=ep16_0_8_4.txt; hier=0; port_bw=800; ep_place=1; tp=1; ep=1; 200G/lane: static laser+tune NOT re-budgeted -- same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic),yes,fcdc6e7,llamaMoE,,,0,no,not the first qualifying rung of this walk,g16b800m32,collector,./logs/rung_12940015_3278296_1788834219572512077,clean,,,,,,,,g16b800m32_q4267.csv
cliff,glassfb_800,ep16_0_8_4.txt,16,128,32,533,0,COMPLETE,99.668,0,78592,57472,0.1014,0.0008,1.6989,7.9019,994,sweep,post-fix rung (glass); dim_a2a=1; portmap=ep16_0_8_4.txt; hier=0; port_bw=800; ep_place=1; tp=1; ep=1; 200G/lane: static laser+tune NOT re-budgeted -- same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic),yes,fcdc6e7,llamaMoE,,,0,yes,first zero-timeout rung (post-fix binary),g16b800m32,collector,./logs/rung_12940012_3000416_1788834219667026878,clean,,,,,,,,g16b800m32_q533.csv
cliff,glassfb_800,ep16_0_8_4.txt,16,128,32,8533,0,COMPLETE,99.668,0,78592,57472,0.1014,0.0008,1.6989,7.9019,1023,sweep,post-fix rung (glass); dim_a2a=1; portmap=ep16_0_8_4.txt; hier=0; port_bw=800; ep_place=1; tp=1; ep=1; 200G/lane: static laser+tune NOT re-budgeted -- same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic),yes,fcdc6e7,llamaMoE,,,0,no,not the first qualifying rung of this walk,g16b800m32,collector,./logs/rung_12940016_3734261_1788834219717122976,clean,,,,,,,,g16b800m32_q8533.csv
cliff,glassfb_800,ep16_0_8_4.txt,16,128,4,1066,0,COMPLETE,85.663,0,78592,57472,0.0172,0.0008,0.2315,1.0936,142,sweep,post-fix rung (glass); dim_a2a=1; portmap=ep16_0_8_4.txt; hier=0; port_bw=800; ep_place=1; tp=1; ep=1; 200G/lane: static laser+tune NOT re-budgeted -- same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic),yes,fcdc6e7,llamaMoE,,,0,no,not the first qualifying rung of this walk,g16b800m4,collector,./logs/rung_12940000_966834_1788834178931820059,clean,,,,,,,,g16b800m4_q1066.csv
cliff,glassfb_800,ep16_0_8_4.txt,16,128,4,2133,0,COMPLETE,85.663,0,78592,57472,0.0172,0.0008,0.2315,1.0936,134,sweep,post-fix rung (glass); dim_a2a=1; portmap=ep16_0_8_4.txt; hier=0; port_bw=800; ep_place=1; tp=1; ep=1; 200G/lane: static laser+tune NOT re-budgeted -- same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic),yes,fcdc6e7,llamaMoE,,,0,no,not the first qualifying rung of this walk,g16b800m4,collector,./logs/rung_12940001_62244_1788834178923454422,clean,,,,,,,,g16b800m4_q2133.csv
