paper_ref,variant,substrate,pj_bit,hcp,tile_i,tile_j,tile_class,pic_w,pic_max_C,pic_min_C,pic_spread_C,die_max_C,bc_source
thermal,hcp_30k,glass,1.15,30000,0,2,edge,37.34,174.447,69.326,105.121,174.511,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_30k,glass,1.15,30000,0,3,corner,59.14,175.535,67.562,107.974,175.546,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_30k,glass,1.15,30000,1,0,edge,37.34,179.437,70.187,109.249,179.501,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_30k,glass,1.15,30000,1,1,interior,15.54,178.343,69.806,108.537,178.453,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_30k,glass,1.15,30000,1,2,interior,15.54,178.343,69.806,108.537,178.453,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_30k,glass,1.15,30000,1,3,edge,37.34,179.423,68.529,110.894,179.488,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_30k,glass,1.15,30000,2,0,edge,37.34,184.427,75.008,109.419,184.492,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_30k,glass,1.15,30000,2,1,interior,15.54,183.334,74.627,108.707,183.444,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_30k,glass,1.15,30000,2,2,interior,15.54,183.334,74.627,108.707,183.444,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_30k,glass,1.15,30000,2,3,edge,37.34,184.414,73.381,111.033,184.479,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_30k,glass,1.15,30000,3,0,corner,59.14,190.506,80.380,110.125,190.518,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_30k,glass,1.15,30000,3,1,edge,37.34,189.404,79.999,109.405,189.469,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_30k,glass,1.15,30000,3,2,edge,37.34,189.404,79.999,109.405,189.469,wrapper:run_panel_map.sh (gated against panhq db)
thermal,hcp_30k,glass,1.15,30000,3,3,corner,59.14,190.492,78.690,111.802,190.504,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15_si,si,1.15,70000,0,0,corner,59.14,114.004,62.171,51.833,114.383,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15_si,si,1.15,70000,0,1,edge,37.34,113.432,61.886,51.546,113.856,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15_si,si,1.15,70000,0,2,edge,37.34,113.432,61.886,51.546,113.856,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15_si,si,1.15,70000,0,3,corner,59.14,113.999,61.088,52.911,114.378,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15_si,si,1.15,70000,1,0,edge,37.34,118.426,64.710,53.716,118.851,wrapper:run_panel_map.sh (gated against panhq db)
